Feature            , Model        , Accuracy            , Precision            , Recall              , F1-score
word_unigram       , Random Forest, 0.7083333333333334  , 0.7774509865134864   , 0.7083333333333334  , 0.7096319173602453
word_unigram       , SVM          , 0.4875              , 0.7560392600694323   , 0.4875              , 0.5082402437138313
word_unigram       , XGBoost      , 0.6041666666666666  , 0.6173587061087061   , 0.6041666666666666  , 0.5954939098625159
word_unigram       , Naive Bayes  , 0.3958333333333333  , 0.6282976346383603   , 0.3958333333333333  , 0.3916691994806605
word_unigram       , MLP          , 0.775               , 0.8100448972323974   , 0.775               , 0.764775116897879
word_unigram       , Decision Tree, 0.31666666666666665 , 0.3399838587338587   , 0.31666666666666665 , 0.3147581339154481
word_bigram_trigram, Random Forest, 0.3541666666666667  , 0.5483453072246175   , 0.3541666666666667  , 0.3735703903496311
word_bigram_trigram, SVM          , 0.016666666666666666, 0.029323570432357043 , 0.016666666666666666, 0.007601584022038568
word_bigram_trigram, XGBoost      , 0.23333333333333334 , 0.37281691211838275  , 0.23333333333333334 , 0.25124992712361977
word_bigram_trigram, Naive Bayes  , 0.2125              , 0.38323571852983623  , 0.2125              , 0.21685072785401735
word_bigram_trigram, MLP          , 0.04583333333333333 , 0.0021094839609483965, 0.04583333333333333 , 0.004033333333333333
word_bigram_trigram, Decision Tree, 0.22083333333333333 , 0.2728691630203727   , 0.22083333333333333 , 0.22922360263575436
char_bigram_trigram, Random Forest, 0.85                , 0.8692729377104377   , 0.85                , 0.8389203910738184
char_bigram_trigram, SVM          , 0.9                 , 0.9213492063492063   , 0.9                 , 0.9011576257133531
char_bigram_trigram, XGBoost      , 0.8833333333333333  , 0.8972751322751323   , 0.8833333333333333  , 0.8801625131046571
char_bigram_trigram, Naive Bayes  , 0.1                 , 0.08615656001491914  , 0.1                 , 0.06001223094983467
char_bigram_trigram, MLP          , 0.9208333333333333  , 0.928088208088208    , 0.9208333333333333  , 0.9199788145434429
char_bigram_trigram, Decision Tree, 0.6458333333333334  , 0.6656380772005773   , 0.6458333333333334  , 0.6395291464323803
BERT               , Random Forest, 0.08333333333333333 , 0.0966979548229548   , 0.08333333333333333 , 0.08284063764192313
BERT               , SVM          , 0.14583333333333334 , 0.1771100894138778   , 0.14583333333333334 , 0.1283552821148729
BERT               , XGBoost      , 0.1375              , 0.13268739362489362  , 0.1375              , 0.13083599686347366
BERT               , Random Forest, 0.1                 , 0.10283234126984128  , 0.1                 , 0.09744324403380132
BERT               , SVM          , 0.14583333333333334 , 0.1771100894138778   , 0.14583333333333334 , 0.1283552821148729
BERT               , XGBoost      , 0.1375              , 0.13268739362489362  , 0.1375              , 0.13083599686347366
BERT               , Random Forest, 0.09166666666666666 , 0.11810170153920153  , 0.09166666666666666 , 0.09548398632957457
BERT               , SVM          , 0.14583333333333334 , 0.1771100894138778   , 0.14583333333333334 , 0.1283552821148729
BERT               , XGBoost      , 0.1375              , 0.13268739362489362  , 0.1375              , 0.13083599686347366
BERT               , MLP          , 0.18333333333333332 , 0.20174414093531737  , 0.18333333333333332 , 0.18176246290763723
BERT               , Decision Tree, 0.06666666666666667 , 0.08078583453583454  , 0.06666666666666667 , 0.06994698717318687
