Feature,Model,Accuracy,Precision,Recall,F1-score
word_unigram,Random Forest,0.65,0.6901800215035508,0.65,0.6368824939658414
word_unigram,SVM,0.4875,0.7560392600694323,0.4875,0.5082402437138313
word_unigram,XGBoost,0.6041666666666666,0.6173587061087061,0.6041666666666666,0.5954939098625159
word_unigram,Naive Bayes,0.3958333333333333,0.6282976346383603,0.3958333333333333,0.3916691994806605
word_unigram,MLP,0.75,0.8061153198653199,0.75,0.7483230433361676
word_unigram,Decision Tree,0.30833333333333335,0.3221094877344878,0.30833333333333335,0.3007521317834785
word_bigram_trigram,Random Forest,0.3625,0.5756032509157509,0.3625,0.3824098466974053
word_bigram_trigram,SVM,0.016666666666666666,0.029323570432357043,0.016666666666666666,0.007601584022038568
word_bigram_trigram,XGBoost,0.23333333333333334,0.37281691211838275,0.23333333333333334,0.25124992712361977
word_bigram_trigram,Naive Bayes,0.2125,0.38323571852983623,0.2125,0.21685072785401735
word_bigram_trigram,MLP,0.2625,0.5405443942095433,0.2625,0.26763203388387213
word_bigram_trigram,Decision Tree,0.22083333333333333,0.26716610422904796,0.22083333333333333,0.21912090789533076
char_bigram_trigram,Random Forest,0.8625,0.8917090548340548,0.8625,0.8522789064382817
char_bigram_trigram,SVM,0.9,0.9213492063492063,0.9,0.9011576257133531
char_bigram_trigram,XGBoost,0.8833333333333333,0.8972751322751323,0.8833333333333333,0.8801625131046571
char_bigram_trigram,Naive Bayes,0.1,0.08615656001491914,0.1,0.06001223094983467
char_bigram_trigram,MLP,0.9291666666666667,0.9365483706108706,0.9291666666666667,0.9279580852235314
char_bigram_trigram,Decision Tree,0.65,0.6641121378621379,0.65,0.6468553951781505
BERT,Random Forest,0.17083333333333334,0.1814862221112221,0.17083333333333334,0.15306002103570474
BERT,SVM,0.17083333333333334,0.1986305087161942,0.17083333333333334,0.14695333284662163
BERT,XGBoost,0.22916666666666666,0.24120082871921106,0.22916666666666666,0.2279722399275418
BERT,MLP,0.4041666666666667,0.43095938783438775,0.4041666666666667,0.41013256226201267
BERT,Decision Tree,0.1,0.13912116614322495,0.1,0.10011779642891669
